title,rating_ordinal
Sleepless in Scotland,1
Double Cross,2
Seven Types of Ambiguity,1
Dinotopia: A Land Apart from Time,2
Sweep: Volume 3,2
Between,2
Sashenka,1
The Little Engine That Could,2
Letter to a Christian Nation,1
All Hallows' Eve,0
Witchling,0
Stuart: A Life Backwards,1
Truly Madly,1
Bone Vol. 3: Eyes of the Storm,2
Aurélia and Other Writings,1
Les Chants de Maldoror,2
The Female Brain,0
Blood Fever,1
God's Debris: A Thought Experiment,1
Middle School: The Worst Years of My Life,1
What It is Like to Go to War,0
Koko,0
The Next Always,1
Bride Quartet Boxed Set,2
Postcards from No Man's Land,0
Permutation City,1
Kilimanjaro and Beyond: A Life-Changing Journey,1
The Dragon God,2
True to the Last,2
Charade,1
Son of Perdition,2
Aurian,1
Clifford the Big Red Dog,1
Searching for Tomorrow,2
Strange Angels and Betrayals,2
Code: The Hidden Language of Computer Hardware and Software,2
True,0
A Vampire's Saving Embrace,1
The Cloud Searchers,2
Aspho Fields,1
Queen of the World!,0
Life is What You Make It: A Story of Love Hope and How Determination Can Overcome Even Destiny,0
Underground,0
Seawitch,1
The Dawn Country,2
Broken Embrace,1
The Road to Los Angeles,0
Sorta Like a Rock Star,1
Rominus: The Initiation,1
The Mighty Miss Malone,1
Railsea,1
Misled,0
My Last Sigh,2
The Consequences Series Box Set,2
Courage,2
Dante Valentine: The Complete Series,1
When the Butterflies Came,2
Inside the O'Briens,1
The Readers of Broken Wheel Recommend,0
Graduation Day,0
Sita: An Illustrated Retelling of the Ramayana,1
Life and Death are Wearing Me Out,1
The Crystal of Yggdrasil,1
Tiny Pretty Things,0
As Red as Blood,0
The Mistake,1
Fire Sea,1
The Passenger,0
Fool Me Once,1
The Girl in 6E,0
Birthday Letters,1
Alice 19th Vol. 3,1
Limits of Destiny,2
A River Runs Through It,2
Hadji Murád,0
Galaxy in Flames,1
Fire and Fury: Inside the Trump White House,0
Wrath,2
Far From You,1
Ember Rising,2
Depraved Heart,0
Wolfsong,2
The First Mistake,0
Furyborn,0
In the Dream House: A Memoir,2
The Empire of Gold,2
Studies in the Sermon on the Mount,2
The Master Key System,2
Master-Key to Riches,2
Bitter Harvest,1
Methuselah's Children,1
Wolfcry,0
Two Little Girls in Blue,0
Nervous,2
Lucas,1
Lord John and the Brotherhood of the Blade,1
Midnight Falcon,2
Death and the Maiden,1
Amateurs,1
Elephant Song,1
Intrinsical,0
Home Repair,0
A Loving Scoundrel,2
Scent of Darkness,1
First Day,1
Yearbook,0
The Postcard Killers,0
Darkness Revealed,2
The Cross of Lead,0
Keeping Promise Rock,2
Born to Bite,2
Supernova,1
The Secret River,0
When Genius Failed: The Rise and Fall of Long-Term Capital Management,2
Kissing Annabel: Love Ghosts and Facial Hair; A Place Like This,0
The Four Fingers of Death,0
Out of Sight,1
Dark Taste of Rapture,2
There Was an Old Lady Who Swallowed a Fly,2
The Attack,0
Special Forces,2
I Am Wolf,2
I Am Ozzy,1
The Locket,0
Dearly Departed,0
Do-It-Yourself Book,2
Ultramarathon Man: Confessions of an All-Night Runner,1
Across the River and into the Trees,0
The Wild Road,1
The Last Full Measure,2
Museum of Thieves,1
Fallen,0
Eternal Treblinka: Our Treatment of Animals and the Holocaust,2
Foretold: 14 Tales of Prophecy and Prediction,1
The King of Elfland's Daughter,0
Don't You Wish,0
Witch Week,1
The Damnation Game,0
The Line of Illeniel,1
The Orchardist,0
The Adventures of Feluda,2
Chasing Daisy,1
Batman: The Man Who Laughs,1
Gomorrah,0
Captivate,0
Water Falls Down,1
Brothers to the Death,2
Prince of the Elves,2
Being Jamie Baker,1
Sacré Bleu: A Comedy d'Art,0
Sunset at Blandings,1
Epic,1
Crossing the Line,1
Strange and Ever After,0
Suicide Watch,2
Tales from a Not-So-Happy Heartbreaker,2
Wildwood Imperium,1
Elizabeth Is Missing,0
Consequences: Opal & Origin,2
The Russian Concubine,0
Front Page Face-Off,2
A Country Doctor's Notebook,2
Wayward,1
Firstlife,0
Black Iris,0
More Than Miles,2
Unspeakable Things: Sex Lies and Revolution,1
The Epilogue,2
The Empty Grave,2
The Rules of Magic,1
All the Crooked Saints,0
The Start of Me and You,1
The Wicked Deep,0
The Fates Divide,1
13 Minutes,0
An Unwanted Guest,0
Hangman,1
The Wild Robot,1
A Good Girl's Guide to Murder,2
The Grace Year,2
Teen Titans: Raven,1
Front Lines,2
Untamed,2
Discourse on Method and Meditations on First Philosophy,0
The Dosadi Experiment,0
The Blood of Flowers,1
Smoky the Cow Horse,1
A Noble Radiance,1
Charmed Thirds,0
Wyvernhail,1
The Law of Nines,0
Crazy for the Storm: A Memoir of Survival,0
Once a Runner,1
Just Between You and Me: A Novel of Losing Fear and Finding God,2
Pimp: The Story of My Life,1
The Professor's House,0
They Thirst,1
God: A Biography,1
The Dragon Waiting,0
Brave Story,2
Peace Love and Baby Ducks,0
Where the River Ends,1
Rich Man Poor Man,2
Mortal Coils,1
The Braided Path,1
Tweak: Growing Up On Methamphetamines,1
The FitzOsbornes in Exile,1
More Than a Carpenter,2
The Little Giant of Aberdeen County,0
Safe Harbor,2
Winter: A Berlin Family 1899-1945,1
The Gods of Mars,0
Parrotfish,0
How I Found Freedom in an Unfree World: A Handbook for Personal Liberty,1
Dead Undead or Somewhere in Between,0
Chasing Brooklyn,1
The King's Blood,1
Open City,0
Armageddon in Retrospect: And Other New and Unpublished Writings on War and Peace,1
Igraine the Brave,0
...And the Stars Will Sing,0
Zazen,0
Eternal on the Water,1
Reign of Blood,0
Best Friends Forever,0
Dancing on the Edge,0
Altar of Eden,1
The Collector,0
The Quiet Room: A Journey Out of the Torment of Madness,1
Slash,1
Netherworld,0
Time and the Gods,0
Hades' Disciples,0
A Matter of Honor,1
Lies Beneath,0
Discourse on the Origin of Inequality,0
Been So Long,2
The First Judgement,2
The Fountains of Paradise,1
Fighting for You,1
The Crossover,2
Sketchy Behavior,0
The Lemonade Crime,1
Ariel: The Restored Edition,2
In Bed with a Highlander,1
The Atlantis Gene,0
The Sound,0
Sins & Shadows,0
Malcolm X: A Life of Reinvention,2
Preacher Volume 1: Gone to Texas,2
Guardian,1
Kill For Me,2
The Wisdom of Crowds,0
The Way of the Dragon,2
Riding Freedom,2
48,0
The Private Papers of Eastern Jewel,0
The Hidden Child,1
How to Say Goodbye in Robot,0
Letter from the Birmingham Jail,2
Paprika,0
Emily Windsnap and the Land of the Midnight Sun,2
Emily Windsnap and the Monster from the Deep,1
Confessions,0
Stars,0
The Corner: A Year in the Life of an Inner-City Neighborhood,2
#Girlboss,0
Urban Shaman,0
Sweet,0
The Goodbye Kiss,0
The Blood Mirror,2
The Bone Houses,1
Necessary People,0
Flights,0
Pumpkinheads,1
A Wolf Called Wander,2
Vardaesia,2
Jeremy Thatcher Dragon Hatcher,1
Created to be His Help Meet,0
The Next Big Thing,0
The Mind Parasites,0
One Bullet Away: The Making of a Marine Officer,2
The History of the Siege of Lisbon,0
Who Put That Hair in My Toothbrush?,0
Demon Thief,2
Small Change: The Secret Life of Penny Burford,1
The Road of the Dead,0
Shadowrise,1
The Things That Keep Us Here,1
Martian Time-Slip,0
A Murder for Her Majesty,2
The Secret Year,0
Unwritten Rules,0
Dianetics: The Modern Science of Mental Health,0
Marvels,2
The Restorer,2
The Tent,0
Violet Eyes,1
You Have to Stop This,2
Goddess: The Secret Lives of Marilyn Monroe,1
Chords of Strength: A Memoir of Soul Song and the Power of Perseverance,1
Love Lucy,2
Black as Night,2
Paint the Wind,2
The Music of the Primes: Searching to Solve the Greatest Mystery in Mathematics,1
Marjorie Morningstar,1
Special Forces - Soldiers,2
I Zombie,0
Save the Cupcake!,2
The Shooting Star,1
The Deceiver,1
The Sound of Waves,0
Starclimber,2
Eternal Eden,0
The Shadow Society,0
Eve & Adam,0
Castle Waiting Vol. 1,1
The Blacksmith's Son,1
The Books of Magic,1
No Place Like Home,0
Just Take My Heart,0
Storm Shells,2
Revan,1
Apt Pupil,0
Pornography: Men Possessing Women,0
The Red Queen,0
The Grimm Legacy,0
The Stonekeeper,2
The Last Council,2
Cape Refuge,2
The Innocence of Father Brown,0
One Man's Meat,2
The Rainy Day Man: espionage Thriller (Suspense and Political Mystery Book 1),0
The Bachelor of Arts,0
Something Real,1
The Hunted,2
Fanny Hill or Memoirs of a Woman of Pleasure,0
Redemption,2
The Girl Who Came Home,0
Get Me,2
To Russia With Love,2
Kristy's Great Idea,2
The Invincible,2
Mockingbird,2
The Singing Tree,1
The Lantern Bearers,1
Snow White and Rose Red,0
Mackenzie's Pleasure,1
The Complete Oz,2
Of Giants and Ice,2
George's Secret Key to the Universe,1
Marbles: Mania Depression Michelangelo and Me,1
The Madonnas of Leningrad,0
Zac and Mia,0
Fractured,0
Born of Fire,2
The Legend of the Wandering King,1
The Shadow Year,1
Tulip Fever,0
Avery,1
Elena Vanishing,1
Mordacious,2
The Bazaar of Bad Dreams,1
Live by Night,1
Stand,2
Journey Under the Midnight Sun,2
Memoirs of a Midget,0
The Demon Lover,0
The Memoirs of Helen of Troy,0
Milkman,0
Tomorrow in the Battle Think on Me,1
The Vintage Coat,2
#Murdertrending,0
The Autobiography of Charles Darwin 1809–82,0
Fates and Furies,0
Beach Read,1
Our Inner Ape: A Leading Primatologist Explains Why We Are Who We Are,2
Love is Eternal,1
The Lady Or The Tiger And Other Stories,0
Speaks the Nightbird,2
The Zero,0
Foundling,1
Three Men in a Boat and Three Men on the Bummel,1
Fourth Comings,0
The Courts of Chaos,2
Plum Bun: A Novel without a Moral,1
An Unreasonable Woman: A True Story of Shrimpers Politicos Polluters and the Fight for Seadrift Texas,1
The Big Book of Girl Stuff,2
Black Girl Lost,2
Devil's Bride,1
Stake That,1
Becoming Human,2
Time,0
Ravenheart,2
Bleach Volume 02,2
This Alien Shore,1
Mélusine,0
Twisted,1
Boost,1
Merle's Door: Lessons from a Freethinking Dog,2
Reasonable Faith,2
Love Is a Dog from Hell,1
Wonderland,0
The Candlestone,1
A Witch's Beauty,2
Winter Prey,2
Playing the Enemy: Nelson Mandela and the Game That Made a Nation,2
Travels in the Scriptorium,0
The Edge Chronicles 6: Midnight Over Sanctaphrax: Third Book of Twig,2
Dust of Dreams,2
Mystic Embrace,1
When You Eat at the Refrigerator Pull Up a Chair: 50 Ways to Feel Thin Gorgeous and Happy {When You Feel Anything But},1
The Book of Fours,1
A Bridge Too Far,2
Winter's Bone,1
Black Seconds,0
Girlchild,0
The Mark of the Golden Dragon: Being an Account of the Further Adventures of Jacky Faber Jewel of the East Vexation of the West and Pearl of the South China Sea,1
Maximum Ride Vol. 2,2
Years,2
Gold,0
Death Watch,0
Shadowheart,1
Vessel,0
Mastermind: How to Think Like Sherlock Holmes,0
Love Is the Higher Law,0
Curfewed Night,1
Homer Price,1
Early From The Dance - A Southern Novel Of Love And Betrayal,2
Menagerie,1
Glitch,0
Symptoms of Being Human,2
Filthy Beautiful Lies,1
The Mad Scientist's Daughter,0
Daredevil: Born Again,2
The Last American Man,0
Humility: The Journey Toward Holiness,2
Stray,1
Voyage on the Great Titanic: The Diary of Margaret Ann Brady R.M.S. Titanic 1912,1
The Earth Dwellers,2
The Star Beast (Heinlein's Juveniles #8),0
The Ladies of Grace Adieu and Other Stories,0
New Moon: The Graphic Novel Vol. 2,2
Hyde,0
Full Moon,2
Stumbling on Happiness,0
Terminal,2
Flanagan's Run,2
The Love That Split the World,0
The Compound,0
Dark Age,0
Deep Work: Rules for Focused Success in a Distracted World,2
Hold Me Closer: The Tiny Cooper Story,0
Frost Like Night,1
Black Milk: On Writing Motherhood and the Harem Within,0
Take the Key and Lock Her Up,1
Discourses and Selected Writings,2
The Complete Collected Poems,2
The Bone Tree,2
Here Lies Daniel Tate,1
The Helicopter Pilot,2
Wilder Girls,0
Corrag,2
The Best Lies,0
Regarding the Pain of Others,1
How to Sleep with a Movie Star,0
The Mismeasure of Man,1
Wilderness: The Lost Writings Vol. 1,1
A Rose for the Crown,1
Shepherding a Child's Heart,2
Eggs,0
Something Maybe,0
Rising Tides,2
The Notebooks of Lazarus Long,1
Midnight Mass,0
Click Clack Moo: Cows That Type,2
Kitty Raises Hell,1
In Between,1
Snitch,2
No Regrets and Other True Cases,1
Night Mare,0
Shadowplay,1
Chosen by a Horse,1
What the Body Remembers,1
Seven Daughters and Seven Sons,2
Stormrider,2
The Fuck-Up,0
The Demon's Lexicon,0
The Drawing of the Dark,1
Wish You Were Dead,0
One Foot in Eden,1
Gentle Rogue,2
Dearly Devoted Dexter,0
Lud-in-the-Mist,0
Shadows Return,1
Lace,0
The Unwritten Rule,0
The Winds of Winter,2
The Most Beautiful Woman in Town & Other Stories,1
Anything But Typical,0
Chocolicious,0
The Citadel of the Autarch,2
Through Violet Eyes,1
Who's That Girl?,0
Camille,0
Hana-Kimi: For You in Full Blossom Vol. 1,2
Hell's Corner,1
Charlie Bone and the Time Twister,1
So Much for That,0
The Manual of Detection,0
Courting Morrow Little,2
Shadow Wolf,2
Bone Vol. 2: The Great Cow Race,2
Hercule Poirot's Christmas,1
The Sacrifice,0
The Circle trilogy,2
The Vampire Diaries Volumes 1-4,1
Angel Cake,1
Iron's Prophecy,2
Angel of Darkness,0
Colors of the Mountain,1
The Last Time They Met,0
The Fourth Protocol,1
Dirty,0
The Composer Is Dead,2
Dragon Keeper,1
The End,2
Grace,2
The Young Lions,2
Grace Abounding to the Chief of Sinners,2
Destiny Rising,0
Secrets of the Demon,1
Antigoddess,0
The World's Strongest Librarian: A Memoir of Tourette's Faith Strength and the Power of Family,0
The Arabian Nights: Tales of 1001 Nights Volume 1 of 3,1
Basic Economics: A Citizen's Guide to the Economy,2
Bitter Sweet Love,1
Sparkling Cyanide,1
Tao of Jeet Kune Do,2
Dangerous Boys,0
Never Been Kissed,0
Dancing with Devia,1
Letters to a Shooting Star,1
The Effective Executive: The Definitive Guide to Getting the Right Things Done,1
The Wrong Boy,1
William Golding's Lord of the Flies,0
The White Masai,0
Damaged 2,1
Frost Burned,2
Bang,2
The Leveller,0
The Civil War Vol. 2: Fredericksburg to Meridian,2
Nero,1
Twenty Years in Siberia,2
Sad Girls,0
The Traitor's Kiss,1
The Magnolia Story,2
The Child,1
Exhalation: Stories,2
One of Us Is Next,1
Picture Us in the Light,1
Monsieur Ibrahim and The Flowers of the Qur'an,0
Way Station,1
Crave,0
All the President's Men,2
The Probability Broach,0
The Last 100 Days,2
The I-5 Killer,1
Fame Glory and Other Things on My To Do List,0
Gap Creek,0
Camber of Culdi,1
Wherever You Go There You Are: Mindfulness Meditation in Everyday Life,1
God Loves Fun,2
Betsy Was a Junior,2
A Clan in Need,2
Only His,1
The Pledge,1
Wheat that Springeth Green,0
The Highest Tide,0
Retribution,1
Magic Hour,1
Forbidden Nights with a Vampire,2
Robots and Empire,2
Skin,0
The Idea of India,0
JLA Vol. 7: Tower of Babel,1
Fire Burn and Cauldron Bubble,0
The Complete Stories Vol 1,2
Vampire Instinct,2
Now You See Me,1
Love Letters,0
The Last Lion: Winston Spencer Churchill: Alone 1932-40,2
The Last Lion: Winston Spencer Churchill: Visions of Glory 1874-1932,2
This Is All I Ask,2
Kabul Beauty School: An American Woman Goes Behind the Veil,0
Love's Reckoning,2
Moonglow,1
A Stir of Echoes,1
Heroes of the Valley,0
Always and Forever,2
The Prague Cemetery,0
4.48 Psychosis,2
Winter Moon,0
The End Has Come and Gone,2
Alive In A Dead World,2
Kate's Song,1
Two Little Savages,2
Taking Shots,1
Usher's Passing,1
The Ethics of Ambiguity,2
African Safari with Ted and Raymond,2
Torment of Shadows,1
The Vintner's Luck,0
The Art of Life,2
The Partly Cloudy Patriot,0
Annihilation,1
Destiny Freedom and the Soul: What Is the Meaning of Life?,2
The Hogwarts Library,2
Downpour,1
Possession,1
People of the Wolf,1
Ghosts & Echoes,0
Live Wire,1
Faking Normal,1
Kiss,0
Covenant with the Vampire,0
The Wall and the Wing,1
The Dark Age,1
Time's Edge,1
Time's Divide,1
One Crazy Summer,1
The Wrong Side of Right,1
The Art of Asking; or How I Learned to Stop Worrying and Let People Help,1
The Death of Ivan Ilych and Other Stories,1
Two Summers,0
The Teacher,0
Beautiful Darkness,0
Across the Ocean,2
Depression & Other Magic Tricks,0
Tied,2
More Than We Can Tell,2
Goodbye Things: The New Japanese Minimalism,0
Necropolis,0
In Good Faith,1
The Devil Colony,2
In the Dark,1
Loveless,2
Conversations With the Fat Girl,0
The Opposite of Chocolate,0
The Jackrabbit Factor: Why You Can,1
DragonKnight,2
Coasting: A Private Voyage,1
Shadow Over Kiriath,2
The Heart of a Warrior,2
Half-Moon Investigations,0
Bellwether,1
Bleach Volume 03,2
At the Back of the North Wind,1
Market Forces,0
Catalyst,0
White Tiger,1
The Naked Ape: A Zoologist's Study of the Human Animal,1
The Carpetbaggers,1
Holding the Dream,1
The Demon's Covenant,1
Horseradish,1
Skeletons at the Feast,1
Dark Symphony,2
Vampire Knight Vol. 13,2
Means of Ascent,2
Enchanted Glass,0
The White Road,1
Dirty Blood,0
The Perfect Happiness,0
Heroes 'Til Curfew,1
The Android's Dream,1
The Pioneer Woman: Black Heels to Tractor Wheels,0
Ghazals of Ghalib,2
Nancy Drew: #1-64,2
Nightmare Academy,1
Avatar Volume 5: The Last Airbender,2
The Spell,1
Princess for Hire,0
After Many a Summer Dies the Swan,0
Because of Anya,1
Unholy Night,0
House at the End of the Street,0
The Island at the Center of the World: The Epic Story of Dutch Manhattan and the Forgotten Colony That Shaped America,2
Asunder,1
The Book of Night Women,2
The Lemonade War,1
If I Lie,1
Hitler's Daughter,0
Raffles: The Amateur Cracksman,0
Blackbringer,1
Pastoralia,1
Christmas at Tiffany's,1
The Confusions of Young Törless,0
Kill Me Softly,0
Hummingbird,1
Sisters,0
Prince of Dogs,1
Black Heart,1
A Plague Upon Your Family,2
'Till Death Do Us Part,2
The Hero's Lot,2
Native Realm: A Search for Self-Definition,1
The Knight Templar,2
Sacrifice,1
Left-Wing Communism an Infantile Disorder: A Popular Essay in Marxian Strategy and Tactics,1
Cocaine,0
Les Misérables: Volume Two,2
Sisters in Sanity,0
Farewell Gul'sary,2
Never Love a Highlander,2
Books of Blood: Volume One,1
Framed,0
The Future of the Mind: The Scientific Quest to Understand Enhance and Empower the Mind,1
Abundance: The Future Is Better Than You Think,1
The Secret Daily Teachings,2
Feel the Fear,2
Vanquish,2
The Time of the Fireflies,2
If I Break,1
Mistress of the Revolution,1
Forging Zero,1
Echo,2
Citizen: An American Lyric,2
Octavia's Brood: Science Fiction Stories from Social Justice Movements,1
Searching for Sunday: Loving Leaving and Finding the Church,2
Every Exquisite Thing,0
A Divided Spy,1
Blink and You Die,2
Catch Your Death,2
Thaïs,0
Hallucinations: or The Ill-Fated Peregrinations of Fray Servando,1
Miss Peregrine's Home for Peculiar Children: The Graphic Novel,1
The Silver Eyes,2
Love in the Victory Garden,2
The Bird's Nest,0
Crossing Tinker's Knob,1
The Fountains of Silence,2
10 Blind Dates,1
The Perfect Wife,0
Temper,0
Girl Soldier,2
Louder Lili,0
Homeric Hymns,1
The Time of the Doves,0
An Anonymous Girl,0
The Giant Under the Snow,0
The End of the Alphabet,0
Green Grass Running Water,1
Ecology of a Cracker Childhood,1
The Manufacture of Madness,1
Tales of the Cthulhu Mythos,2
A Lion Among Men,0
Ten Days to D-Day: Citizens and Soldiers on the Eve of the Invasion,0
Morningstar,2
The Berlin Stories: The Last of Mr Norris/Goodbye to Berlin,1
Telling Christina Goodbye,2
Running in Heels,0
The Lady from the Sea,0
The Silver Hand,2
Nature,0
Diary of a Wimpy Vampire,0
The Beast in the Jungle,0
A Spy in the House,0
Murder Is Easy,0
Twice as Hot,2
The Arm of the Starfish,0
Wolf Island,2
X-Men: Days of Future Past,2
The Riverside Chaucer,2
A Time of Exile,1
Deltora Quest,2
Prince of Thieves,1
The Shadow and the Star,1
The Unwanted: A Memoir of Childhood,2
Miss Match,1
The Mill River Recluse,0
Little Girl Gone,0
The Betrayal of Natalie Hargrove,0
Lying Season,2
Breaking The Silence,2
Soul Screamers Volume One,2
Hateship Friendship Courtship Loveship Marriage: Stories,1
Delia's Complete Cookery Course,2
The Last Stand: Custer Sitting Bull and the Battle of the Little Bighorn,1
Life After Death,1
The Prize: The Epic Quest for Oil Money and Power,2
The Sorrow Of War: A Novel of North Vietnam,1
The Reckoning,1
Sins & Needles,1
Requiem for a Wren,1
Thousand Cranes,0
Meet Me at the Cupcake Café,0
Heartbeat,0
In the Shadow of Man,2
Incarnate,0
The Rocker That Savors Me,2
I Stand Before You,0
Shadows,1
The Street Sweeper,2
Bound to You: Volume 2,1
Essays of E.B. White,2
Red Harvest,0
Control,2
Rainwater,1
A Midsummer Night's Scream,0
The Probability of Violet & Luke,1
The Certainty of Violet & Luke,1
The Valley of Amazement,0
Steve Jobs: The Man Who Thought Different,1
The Daydreamer,0
Orange Is the New Black,0
Antichrista,0
A Place Called Winter,1
The Devil Tree,0
The Letter,1
Sleep Tight,1
Nearly Gone,1
Fifteen Dogs,0
The Water Knife,0
Oblivion,2
The Empty City,1
Everyday Sexism,2
The Little Mouse the Red Ripe Strawberry and the Big Hungry Bear,2
The End of Oz,0
I Feel Bad About My Neck: And Other Thoughts on Being a Woman,0
Reign of Shadows,0
The Call,0
Manhattan Beach,0
A Writer at War: Vasily Grossman with the Red Army,2
Fireblood,1
Ramona Blue,1
The Inquisitor's Tale: Or the Three Magical Children and Their Holy Dog,1
One True King,2
Every Living Thing,2
Shoe Addicts Anonymous,0
The Crusades Through Arab Eyes,2
The Killing,2
The Perfect King: The Life of Edward III Father of the English Nation,2
Without a Trace,1
Eyeshield 21 Vol. 1: The Boy With the Golden Legs,2
The Book of Ruth,0
The Spell Book of Listen Taylor,0
The Autobiography of a Tibetan Monk,2
The Day I Swapped My Dad for Two Goldfish,1
Tick Tock,1
Once Was Lost,0
Graveminder,0
Warrior's Cross,1
Beloved Vampire,2
Laney,1
Tell Me Lies,0
Mistress of the Empire,2
The Way of the Bow,0
Airel: The Awakening,0
Unbowed,1
Esther: It's Tough Being a Woman [With 6 DVDs and Leader Guide Member Book],2
The Winter's Tale,0
Fearscape,2
The Watch That Ends the Night,1
The Ghost of Crutchfield Hall,1
Tears of the Broken,1
Banker to the Poor: Micro-Lending and the Battle Against World Poverty,1
One Breath Away,1
Dear Enemy,1
Something like Normal,0
Without Due Process,1
The Wind on Fire Trilogy: The Wind Singer/Slaves of the Mastery/Firesong,2
Day by Day Armageddon,1
The Burning Stone,0
Red Glove,1
The Rozabal Line,0
Marked / Betrayed / Chosen / Untamed / Hunted,2
Iran Awakening: A Memoir of Revolution and Hope,2
Kitchen Affairs,0
The Slight Edge,2
The Seven Dials Mystery,0
Black Powder War,0
Throne of Jade,0
I Married a Communist,0
The Fallen,2
The Training,1
The Group,0
Taint,0
Darconville’s Cat,2
Dear Killer,0
Spy School,2
Remember Me,2
Time and Time Again,1
The Perfectionists,0
Kingdom of the Golden Dragon,0
Beautifully Broken,2
Before I Break,2
If I Should Die,2
The Witch Hunter,0
Nobody Nowhere: The Extraordinary Autobiography of an Autistic Girl,1
Order 66:,2
I Funny: A Middle School Story,2
Treasure Hunters,2
Mr. Lemoncello's Library Olympics,2
Map of Fates,1
Killer Frost,2
Last Train to Istanbul,0
Mischling,0
Die For Me,2
Harry Potter: A History of Magic,2
Tidal Mist,2
Home Fire,1
The Reckoning,0
The Vine Witch,0
Fallen Heir,1
Twisted Palace,1
Mirror Mirror,0
The Black Witch,1
14 Hollow Road,2
Blue Labyrinth,1
Deryni Rising,1
The Lost Steps,1
The New Left: The Anti-Industrial Revolution,1
A Rose for Her Grave and Other True Cases,1
Cover-Up: Mystery at the Super Bowl,2
Expanded Universe,1
Divine Madness,2
All That Matters,0
I Am Not Esther,1
Mercury's War,2
Love Poems,2
Nice Work,0
The Inheritors,0
Sanctuary,0
Devil Water,1
The Bogleheads' Guide to Investing,2
The Haunted Mask,0
Waves,0
Collected Poems 1947-1980,2
The Books of the South,2
Gone for Soldiers: A Novel of the Mexican War,2
A Mermaid's Ransom,1
The Garden of Eve,1
Soccer in Sun and Shadow,2
Vampire Destiny Trilogy,2
Someone to Watch Over Me,1
The Girl In Times Square,0
Alcools,1
In the Night Kitchen,1
Black Swan Rising,0
Math Curse,2
Undead,1
The Legend of Drizzt: The Collected Stories,2
Luncheon of the Boating Party,0
The Secret Teachings of All Ages,2
The Heart's Ashes,2
Heartsnatcher,1
Old Magic,1
I Heart Paris,1
Darkness Breaks,1
A Land More Kind Than Home,0
Justine,0
A Note of Madness,1
One Writer's Beginnings,1
Joni: An Unforgettable Story,2
Babe: The Gallant Pig,1
Raphael,1
Shadows in Bronze,1
Princess of the Damned,0
Tempted,2
A Wanted Man,1
Paris 1919: Six Months that Changed the World,1
The Lives of Tao,0
Chasing Harry Winston,0
Morgawr,1
Push Girl,1
I Loved You More,2
The Island Stallion,1
Keep Me Still,1
The Master of Petersburg,0
Stillness Speaks,2
All Men Are Mortal,1
Skinhead... The Life I Chose: Memoirs of a Real Skin,1
Manhattan Transfer,0
The End of Alice,0
Dorothy Must Die: Stories,0
To Darkness Fled,2
Shrine,0
Warrior Witch,1
The Winter Queen,1
The Ugly American,1
Ghost Talkers,0
See How They Run,1
Dawn Study,2
A Sound of Thunder,1
Grayson's Vow,2
Wildfire,2
I'd rather Starve than Cook!,2
This Is Where It Ends,0
Ace of Shades,1
I Miss The World,0
Opposite of Always,0
Cracked Kingdom,1
Dina's Book,1
The Poe Shadow,0
Uniform Justice,0
Dragon on a Pedestal,0
Peter Pan in Kensington Gardens / Peter and Wendy,1
Specimen Days,0
Truth and Beauty,1
My Cousin My Gastroenterologist,0
Rx,0
Manhunting,0
The Beatrice Letters,0
The Blue Djinn of Babylon,0
The Last Season,1
Lost Souls,1
Beauty and the Beast,0
Krakatit,0
Prom & Prejudice,0
Blaze,0
The Riftwar Saga,2
A Mermaid's Kiss,0
The Resistance,0
Plum Spooky,0
Fallen Angels,1
Krakatoa: The Day the World Exploded: August 27 1883,0
Legacy of Kings,1
Buffy the Vampire Slayer: The Long Way Home,1
A Universe from Nothing: Why There Is Something Rather Than Nothing,1
Lord of the Dead,0
The Persimmon Tree,1
Black Fallen,1
Jacky Daydream,0
The Forsaken,0
Dark Heart Forever,0
Avoiding Commitment,0
Sheltered,0
I Am a Cat,0
Crookedstar's Promise,2
Love Irresistibly,1
Gargantua,0
Child of Flame,0
Dead Ball (Deadly Sports Mysteries),1
Living with the Bad Boy,0
Locked,0
Druids,1
Saving Mars,0
The Familiars,1
Attrition: the First Act of Penance,1
Still Jaded,2
Super-Cannes,0
Taking Back Forever,2
Bound to You: Volume 1,1
The Dominant,1
Gods & Monsters,0
Across Five Aprils,0
The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,2
53 Letters for My Lover,2
Atheist Manifesto: The Case Against Christianity Judaism and Islam,0
The Fixed Trilogy,2
Run,0
Fear Us,1
Strong Poison,2
On Tour,0
Memories,1
How to Build a Girl,0
Falling Away,2
Merchants of Doubt: How a Handful of Scientists Obscured the Truth on Issues from Tobacco Smoke to Global Warming,2
The Last Lion: Winston Spencer Churchill: Defender of the Realm 1940-1965,2
Midnight Frost,1
Heart of Stone,0
Turbulence,2
The Secret of Ventriloquism,1
Pretty Girls Dancing,1
The Hidden Life of Trees: What They Feel How They Communicate – Discoveries from a Secret World,1
Breakthrough,1
Hate Notes,2
The Poison Jungle,2
The Boat Builder's Bed,0
The Iron Flower,2
Black Wind,2
Ethics for the New Millennium,1
The Birthday of the World and Other Stories,2
Don't Let the Pigeon Drive the Bus!,2
Redemption,2
Utilitarianism,0
The Changeling Sea,1
You Know Where to Find Me,0
Playing for the Ashes,1
A New Song,2
Shepherds Abiding,2
The Second Siege,2
Precious and Fragile Things,0
Patriots,0
The Substitute,1
